iteration,c0,c1,c2,sse,mse
0,0.0,0.0,,71.0,17.75
1,3.25,0.8214285714285714,,19.303571428571427,4.825892857142857
2,2.0178571428571432,1.3494897959183672,,9.3269861516035,2.331746537900875
3,1.2257653061224492,1.6889577259475217,,5.204009583060632,1.301002395765158
4,0.7165634110787173,1.9071871095376927,,3.500126409326077,0.8750316023315192
5,0.38921933569346107,2.0474774275599454,,2.795970607935777,0.6989926519839442
6,0.17878385866008173,2.1376640605742505,,2.504967445116316,0.626241861279079
7,0.04350390913862415,2.1956411817977326,,2.384705933951131,0.5961764834877827
8,-0.043461772696598955,2.2329121882985423,,2.3350060237247012,0.5837515059311753
9,-0.09936828244781365,2.2568721210490628,,2.314466775110718,0.5786166937776795
10,-0.1353081815735941,2.2722749349601115,,2.3059786162447358,0.5764946540611839
11,-0.15841240244016735,2.282176743902929,,2.3024707546725693,0.5756176886681423
12,-0.1732651158543932,2.2885421925090257,,2.301021077186112,0.575255269296528
13,-0.18281328876353858,2.292634266612945,,2.3004219757758926,0.5751054939439731
14,-0.18895139991941767,2.2952648856797504,,2.300174387948201,0.5750435969870502
15,-0.19289732851962543,2.2969559979369825,,2.300072068488797,0.5750180171221992
16,-0.1954339969054738,2.2980431415309175,,2.3000297834060848,0.5750074458515212
17,-0.1970647122963761,2.29874201955559,,2.3000123084484327,0.5750030771121082
18,-0.19811302933338493,2.2991912982857365,,2.300005086654709,0.5750012716636772
19,-0.198786947428605,2.299480120326545,,2.3000021021379156,0.5750005255344789
20,-0.19922018048981768,2.299665791638493,,2.3000008687406686,0.5750002171851671
21,-0.19949868745773988,2.299785151767603,,2.3000003590203786,0.5750000897550946
22,-0.1996777276514044,2.2998618832791733,,2.3000001483706667,0.5750000370926667
23,-0.19979282491876,2.299911210679469,,2.300000061316448,0.575000015329112
24,-0.19986681601920314,2.299942921151087,,2.300000025339962,0.5750000063349905
25,-0.19991438172663045,2.2999633064542704,,2.300000010472126,0.5750000026180315
26,-0.1999449596814057,2.299976411292031,,2.3000000043277655,0.5750000010819414
27,-0.1999646169380467,2.2999848358305917,,2.3000000017885154,0.5750000004471288
28,-0.19997725374588735,2.2999902516053803,,2.3000000007391312,0.5750000001847828
29,-0.19998537740807054,2.2999937331748876,,2.3000000003054577,0.5750000000763644
30,-0.19999059976233133,2.2999959713267133,,2.300000000126235,0.5750000000315587
31,-0.19999395699007005,2.2999974101386016,,2.3000000000521688,0.5750000000130422
32,-0.19999611520790225,2.299998335089101,,2.3000000000215595,0.5750000000053899
33,-0.19999750263365124,2.299998929700136,,2.3000000000089096,0.5750000000022274
34,-0.1999983945502041,2.299999311950087,,2.3000000000036813,0.5750000000009203
35,-0.19999896792513105,2.2999995576821988,,2.3000000000015217,0.5750000000003804
36,-0.19999933652329815,2.299999715652842,,2.300000000000628,0.575000000000157
37,-0.19999957347926312,2.2999998172053986,,2.300000000000259,0.5750000000000648
38,-0.1999997258080979,2.299999882489185,,2.3000000000001077,0.5750000000000269
39,-0.1999998237337772,2.299999924457333,,2.300000000000045,0.5750000000000113
40,-0.1999998866859994,2.299999951436857,,2.3000000000000185,0.5750000000000046
41,-0.19999992715528553,2.2999999687808366,,2.300000000000008,0.575000000000002
42,-0.19999995317125469,2.2999999799305377,,2.3000000000000034,0.5750000000000008
43,-0.19999996989580637,2.299999987098203,,2.300000000000001,0.5750000000000003
44,-0.1999999806473043,2.2999999917059877,,2.3,0.575
45,-0.1999999875589814,2.299999994668135,,2.3000000000000007,0.5750000000000002
46,-0.19999999200220273,2.2999999965723728,,2.3,0.575
47,-0.19999999485855896,2.2999999977965255,,2.3000000000000007,0.5750000000000002
48,-0.19999999669478807,2.2999999985834805,,2.3,0.575
49,-0.19999999787522071,2.2999999990893802,,2.299999999999999,0.5749999999999997
50,-0.19999999863407047,2.2999999994146014,,2.3,0.575
51,-0.19999999912190206,2.2999999996236724,,2.3,0.575
52,-0.19999999943550878,2.299999999758075,,2.3000000000000007,0.5750000000000002
53,-0.1999999996371128,2.2999999998444767,,2.3000000000000007,0.5750000000000002
54,-0.19999999976671498,2.2999999999000207,,2.3,0.575
55,-0.19999999985003128,2.2999999999357277,,2.3,0.575
