iteration,c0,c1,c2,sse,mse
0,0.0,0.0,0.0,71.0,17.75
1,3.25,0.8214285714285714,0.08090379008746355,18.66211995002082,4.665529987505205
2,1.7346938775510206,1.2628071636817992,0.13523701858919326,6.460792734799927,1.6151981836999818
3,0.8824596894151249,1.4883363710213067,0.1741372958308287,2.6951956681960576,0.6737989170490144
4,0.4080149080601395,1.5916405644092377,0.20396664253495395,1.5582002641448034,0.38955006603620085
5,0.1486559045138045,1.6260903886899163,0.22836289126499743,1.214189486455419,0.30354737161385476
6,0.011594297537634413,1.6220978663738777,0.24940976168381146,1.0954116528118598,0.27385291320296495
7,-0.056080965454156695,1.5969810265791233,0.2683042506072423,1.0332737412055624,0.2583184353013906
8,-0.08453641699403297,1.5605903914359625,0.28573730353287563,0.9817116829883145,0.24542792074707862
9,-0.09096614951900822,1.5185181407093233,0.30211094926255594,0.9304918423109267,0.23262296057773169
10,-0.08516553348293077,1.473928501960398,0.317662157124354,0.8788216248885354,0.21970540622213386
11,-0.07271030287583627,1.4286017257698764,0.3325334909443486,0.8277645170336729,0.20694112925841823
12,-0.05676980696003478,1.3835295119831186,0.346813417000492,0.7783232607740029,0.19458081519350073
13,-0.03914122747639981,1.3392545966314777,0.3605593031218,0.7311193999485529,0.18277984998713823
14,-0.020839455873516488,1.296064415918307,0.3738105449915325,0.6864557463459935,0.17161393658649837
15,-0.0024335313478240916,1.2541015405994125,0.3865960609927621,0.6444282703420701,0.16110706758551752
16,0.015761475626213994,1.2134266393216628,0.3989385747515627,0.6050126816147172,0.1512531704036793
17,0.033575029387036576,1.1740543666158232,0.41085706520828413,0.5681199881648742,0.14202999704121855
18,0.05091872184727053,1.135973808672725,0.42236817124408277,0.5336294238942408,0.1334073559735602
19,0.06775068763662315,1.0991601220995204,0.43348699977045446,0.5014071202530745,0.12535178006326864
20,0.08405531765412896,1.0635811501670618,0.4442275933349793,0.47131635668865957,0.11782908917216489
21,0.09983169807697986,1.0292011751056334,0.45460320329713755,0.4432230007340211,0.11080575018350527
22,0.11508702580156865,0.9959830376066883,0.4646264518871149,0.41699825520844364,0.10424956380211091
23,0.12983286198506555,0.963889325725248,0.47430943067449133,0.3925199200135526,0.09812998000338816
24,0.14408300405140828,0.9328830336721331,0.48366376256207644,0.3696728463053621,0.09241821157634053
25,0.1578522805245327,0.9029279189012895,0.49270064277765424,0.3483489597988984,0.0870872399497246
26,0.17115587192627577,0.8739886877461994,0.5014308676956016,0.3284470611667327,0.08211176529168318
27,0.18400893144609506,0.8460310838772694,0.5098648565323773,0.3098725175788771,0.07746812939471928
28,0.19642637632077523,0.819021921922126,0.5180126687991082,0.2925369074328243,0.07313422685820607
29,0.20842277631993214,0.792929090379465,0.5258840191618389,0.2763576516300537,0.06908941290751343
30,0.22001229736436612,0.7677215375705431,0.5334882906567278,0.2612576489704299,0.06531441224260748
31,0.23120867634563835,0.7433692484488552,0.5408345468061457,0.2471649245822724,0.0617912311455681
32,0.2420252135052072,0.7198432167105364,0.5479315429525284,0.2340122955852682,0.05850307389631705
33,0.25247477460034584,0.6971154147219215,0.5547877369959794,0.22173705562904994,0.055434263907262485
34,0.2625697984311899,0.675158762682686,0.5614112996468025,0.21028067858710084,0.05257016964677521
35,0.2723223072121623,0.6539470978172957,0.5678101242612968,0.1995885409761343,0.04989713524403357
36,0.28174391835951756,0.6334551440311578,0.5739918363045415,0.18960966231907309,0.04740241557976827
37,0.2908458568873679,0.6136584822651641,0.5799638024697035,0.1802964625121054,0.04507411562802635
38,0.2996389679582916,0.5945335216672091,0.5857331394751468,0.1716045352033829,0.042901133800845724
39,0.30813372933617245,0.57605747163412,0.591306722555768,0.1634924361934165,0.040873109048354124
40,0.3163402636036322,0.5582083147407544,0.5966911936620611,0.1559214858981667,0.03898037147454168
41,0.32426835007165444,0.5409647805525624,0.6018929693786182,0.14885558496047252,0.03721389624011813
42,0.33192743634599264,0.524306320306699,0.6069182485726015,0.1422610421457666,0.03556526053644165
43,0.33932664953584657,0.5082130824408049,0.6117730197819304,0.13610641370983245,0.03402660342745811
44,0.34647480710203626,0.4926658889455919,0.6164630683523489,0.13036235347727895,0.03259058836931974
45,0.3533804273483911,0.477646212516078,0.6209939833320788,0.12500147291842256,0.03125036822960564
46,0.36005173956360725,0.4631361544759657,0.6253711641323952,0.11999821055879871,0.029999552639699677
47,0.36649669382266836,0.44911842344984026,0.6295998269621265,0.11532871009940171,0.028832177524850428
48,0.3727229704577971,0.43557631475833325,0.6336850110437842,0.11097070666693595,0.02774267666673399
49,0.3787379892092556,0.42249369051201685,0.6376315846187532,0.10690342065193104,0.02672585516298276
50,0.3845489180663384,0.40985496038048946,0.6414442507487107,0.10310745862866129,0.025776864657165322
51,0.3901626818087785,0.39764506301383895,0.6451275529201929,0.09956472088450796,0.02489118022112699
52,0.3955859702585665,0.38584944809440413,0.6486858804589951,0.09625831511789024,0.02406457877947256
53,0.4008252462519111,0.3744540589974793,0.6521234737608571,0.09317247589328546,0.023293118973321366
54,0.4058867533407811,0.3634453160403184,0.6554444293446694,0.09029248946930082,0.022573122367325206
55,0.41077652323317965,0.3528101002994875,0.6586527047342239,0.08760462364137052,0.02190115591034263
56,0.41550038298098524,0.3425357379772878,0.661752123174325,0.0850960622645627,0.021274015566140676
57,0.4200639619239307,0.3326099852986228,0.6647463781868832,0.08275484414429382,0.020688711036073455
58,0.4244726983979745,0.3230210139203113,0.6676390379724199,0.08056980600357003,0.020142451500892507
59,0.4287318462160635,0.3137573968354646,0.6704335496622283,0.0785305292548206,0.01963263231370515
60,0.43284648092900374,0.3048080947561255,0.6731332434262595,0.07662729032251953,0.01915682258062988
61,0.43682150587390367,0.2961624429579456,0.6757413364416256,0.07485101427972751,0.018712753569931878
62,0.4406616580173921,0.28781013857122345,0.6782609367264537,0.07319323157748854,0.018298307894372135
63,0.4443715136005767,0.27974122830315773,0.6806950468436557,0.0716460376607577,0.017911509415189424
64,0.44795549359246867,0.2719460965766844,0.6830465674790286,0.07020205527830438,0.017550513819576095
65,0.45141786895837344,0.26441545407176653,0.6853183008979508,0.06885439930687882,0.017213599826719706
66,0.45476276574952257,0.2571403266554741,0.687512954284792,0.06759664392191855,0.01689916098047964
67,0.457994170020017,0.2501120446876707,0.6896331429690166,0.06642279195825748,0.01660569798956437
68,0.461115932576936,0.2433222326895562,0.6916813935418252,0.06532724631475106,0.016331811578687766
69,0.46413177356927743,0.23676279936275918,0.6936601468670488,0.06430478326646089,0.01607619581661522
70,0.4670452869211903,0.23042592794707872,0.6955717609898827,0.063350527557157,0.01583763188928925
71,0.4698599446147924,0.22430406690539065,0.697418513946927,0.062459929153369634,0.015614982288342408
72,0.47257910082766946,0.2183899209246152,0.6992026064808825,0.06162874154915025,0.015407185387287562
73,0.4752059959299883,0.2126764422220213,0.7009261646631366,0.06085300151809976,0.01521325037952494
74,0.47774376034598987,0.2071568221465101,0.7025912424273651,0.06012901021611265,0.015032252554028163
75,0.4801954182844568,0.20182448306486522,0.704199824017168,0.05945331554473743,0.014863328886184357
76,0.4825638913426143,0.1966730705233048,0.7057538263506573,0.05882269569105794,0.014705673922764485
77,0.4848520019877425,0.19169644567499167,0.7072551013048154,0.05823414376560623,0.014558535941401558
78,0.4870624769206586,0.18688867796447817,0.7087054379223425,0.05768485346506884,0.01442121336626721
79,0.4891979503250841,0.182244038060369,0.710106564543628,0.05717220569141121,0.014293051422852802
80,0.4912609670067487,0.1777569910277787,0.7114601508663826,0.05669375606362984,0.01417343901590746
81,0.493253985425993,0.17342218973244786,0.7127678099353876,0.05624722326257851,0.014061805815644628
82,0.49517938062747174,0.16923446846865825,0.7140311000647316,0.05583047815329818,0.013957619538324546
83,0.4970394470704519,0.16518883680335367,0.715251526694826,0.05544153363298507,0.013860383408246267
84,0.49883640136307883,0.16128047362912812,0.7164305441864111,0.055078535156187484,0.013769633789046871
85,0.500572384903869,0.1575047214189991,0.7175695575536924,0.05473975189205685,0.013684937973014212
86,0.5022494664335779,0.15385708067611456,0.7186699241386714,0.05442356847148856,0.01360589211787214
87,0.5038696445004784,0.1503332045717828,0.7197329552286644,0.05412847728480047,0.013532119321200117
88,0.5054348498420003,0.14692889376543417,0.7207599176189425,0.05385307129322646,0.013463267823306615
89,0.5069469476855499,0.14364009140034054,0.7217520351223474,0.0535960373199445,0.013399009329986125
90,0.5084077399712734,0.14046287826913234,0.7227104900276878,0.05335614978865468,0.01333903744716367
91,0.5098189674993943,0.13739346814334794,0.7236364245086526,0.053132264879848595,0.013283066219962149
92,0.5111823120046938,0.134428203261453,0.7245309419849181,0.05292331507690706,0.013230828769226766
93,0.5124993981606071,0.13156354996995048,0.7253951084370743,0.05272830407602226,0.013182076019005565
94,0.5137717955153142,0.12879609451238858,0.7262299536769349,0.052546302035672274,0.013136575508918068
95,0.5150010203621451,0.12612253896124812,0.7270364725747452,0.052376441142998005,0.013094110285749501
96,0.5161885375465194,0.12353969728786098,0.7278156262447523,0.05221791147594263,0.013054477868985658
97,0.5173357622115757,0.12104449156567589,0.728568343190547,0.052069957141422166,0.013017489285355541
98,0.5184440614845717,0.11863394830234836,0.7292955204115454,0.051931872671114404,0.012982968167778601
99,0.5195147561060685,0.11630519489628238,0.7299980244719273,0.051802999657681176,0.012950749914420294
100,0.520549122003831,0.11405545621340231,0.730676692533305,0.05168272361538341,0.012920680903845853
101,0.5215483918133289,0.11188205128007471,0.7313323333523541,0.05157047105012279,0.012892617762530697
102,0.5225137563466484,0.10978239008824017,0.7319657282445946,0.05146570672493446,0.012866426681233615
103,0.5234463660115587,0.10775397050894588,0.7325776320154708,0.05136793110789917,0.012841982776974792
104,0.5243473321824335,0.10579437531060364,0.7331687738598388,0.05127667799029979,0.012819169497574948
105,0.5252177285246589,0.10390126927841786,0.7337398582309361,0.05119151226366896,0.01279787806591724
106,0.5260585922740969,0.10207239643155129,0.7342915656798653,0.05111202784512639,0.012778006961281597
107,0.5268709254731446,0.10030557733471285,0.734824553666595,0.05103784574111622,0.012759461435279056
108,0.5276556961648481,0.09859870650096353,0.7353394573434432,0.05096861224030806,0.012742153060077015
109,0.5284138395465034,0.09694974988264463,0.7358368903119771,0.05090399722705009,0.012725999306762523
110,0.5291462590841134,0.09535674244743901,0.7363174453542307,0.05084369260732691,0.012710923151831727
111,0.5298538275890341,0.09381778583667795,0.7367816951391135,0.05078741083972211,0.012696852709930527
112,0.5305373882580859,0.0923310461030999,0.737230192904849,0.05073488356437818,0.012683720891094544
113,0.5311977556783785,0.0908947515253689,0.7376634731182594,0.05068586032341618,0.012671465080854045
114,0.5318357167980386,0.08950719049674484,0.73808205211168,0.05064010736671541,0.012660026841678853
115,0.5324520318640028,0.08816670948539311,0.7384864286982634,0.05059740653735802,0.012649351634339504
116,0.5330474353279883,0.08687171106389904,0.738877084766406,0.05055755423142447,0.012639388557856117
117,0.5336226367217305,0.08562065200564284,0.7392544858540064,0.0505203604271791,0.012630090106794774
118,0.5341783215025131,0.08441204144576342,0.7396190817032381,0.05048564777901926,0.012621411944754815
119,0.5347151518700215,0.08324443910452135,0.7399713067964993,0.05045325077186391,0.012613312692965978
120,0.5352337675554706,0.0821164535709432,0.7403115808741781,0.050423014931953516,0.012605753732988379
121,0.5357347865839616,0.08102674064470126,0.7406403094348499,0.05039479609029619,0.012598699022574048
122,0.5362188060109734,0.07997400173425438,0.7409578842185022,0.05036845969524864,0.01259211492381216
123,0.5366864026338611,0.07895698230933967,0.7412646836733645,0.05034388017095324,0.01258597004273831
124,0.5371381336792147,0.07797447040597065,0.7415610734068985,0.05032094031857404,0.01258023507964351
125,0.5375745374668993,0.07702529518216135,0.7418474066214857,0.05029953075747546,0.012574882689368865
126,0.5379961340515578,0.07610832552265474,0.7421240245353329,0.0502795494036787,0.012569887350919675
127,0.5384034258423529,0.07522246869099285,0.7423912567890951,0.050260900983110285,0.012565225245777571
128,0.5387968982016778,0.07436666902732199,0.7426494218387032,0.0502434965773211,0.012560874144330275
129,0.5391770200235559,0.07353990669038207,0.7428988273348619,0.0502272531995097,0.012556813299877425
130,0.5395442442924101,0.07274119644217923,0.7431397704896715,0.05021209339882986,0.012553023349707464
131,0.539899008622881,0.07196958647389565,0.7433725384308104,0.05019794489109168,0.01254948622277292
132,0.5402417357813201,0.07122415727163602,0.7435974085437003,0.05018474021410116,0.01254618505352529
133,0.540572834189595,0.07050402052065843,0.7438146488020608,0.0501724164059902,0.01254310410149755
134,0.5408926984117994,0.06980831804678674,0.7440245180872499,0.050160914705004715,0.012540228676251179
135,0.5412017096244451,0.06913622079373803,0.7442272664967673,0.05015018026931968,0.01253754506732992
136,0.5415002360707074,0.06848692783515227,0.744423135642292,0.05014016191554579,0.012535040478886447
137,0.5417886334992493,0.0678596654201421,0.744612358937606,0.05013081187467872,0.01253270296866968
138,0.5420672455881659,0.06725368605122765,0.7447951618767498,0.0501220855643298,0.01253052139108245
139,0.5423364043545342,0.0666682675935572,0.7449717623027394,0.0501139413761505,0.012528485344037625
140,0.5425964305500762,0.06610271241435156,0.745142370667166,0.050106340477437714,0.012526585119359428
141,0.5428476340433915,0.0655563465515481,0.7453071902809876,0.05009924662597308,0.01252481165649327
142,0.5430903141892212,0.06502851891065138,0.7454664175568108,0.050092625997215666,0.012523156499303916
143,0.5433247601851853,0.06451860048883572,0.7456202422429522,0.05008644702302027,0.012521611755755068
144,0.5435512514164136,0.06402598362537407,0.7457688476495585,0.050080680241117205,0.012520170060279301
145,0.543770057788484,0.0635500812774991,0.7459124108670536,0.05007529815463033,0.012518824538657582
146,0.5439814400490636,0.0630903263208349,0.746051102977174,0.05007027510096937,0.012517568775242342
147,0.5441856500986385,0.06264617087356461,0.7461850892568442,0.050065587129465634,0.012516396782366409
148,0.5443829312906983,0.06221708564352987,0.7463145293751342,0.05006121188717198,0.012515302971792996
149,0.5445735187217355,0.06180255929748271,0.746439577583534,0.05005712851228094,0.012514282128070235
150,0.5447576395114071,0.06140209785173822,0.7465603828997728,0.050053317534652544,0.012513329383663136
151,0.544935513073188,0.06101522408350369,0.7466770892854003,0.05004976078297707,0.012512440195744268
152,0.5451073513758432,0.06064147696218067,0.7467898358173438,0.05004644129813281,0.012511610324533202
153,0.5452733591960257,0.06028041109996203,0.7468987568536429,0.05004334325232075,0.012510835813080188
154,0.5454337343623068,0.05993159622107238,0.7470039821935622,0.05004045187359683,0.012510112968399208
155,0.5455886679909236,0.059594616649015476,0.7471056372322705,0.05003775337543617,0.012509438343859043
156,0.5457383447135298,0.059269070811220126,0.747203843110272,0.05003523489099761,0.012508808722749402
157,0.5458829428972177,0.05895457076049293,0.7472987168577674,0.0500328844117714,0.01250822110294285
